,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw
4360,-0.276,-0.177,0.961,-0.427,-0.549,0.61,0,0,0,0,16.248,-11.788
4380,-0.276,-0.177,0.961,-0.427,-0.549,0.61,0,0,0,0,16.248,-11.788
4400,-0.276,-0.177,0.961,-0.427,-0.549,0.61,0,0,0,0,16.243,-11.782
4420,-0.278,-0.177,0.962,-0.793,-0.793,0.793,0,0,0,0,16.232,-11.777
4440,-0.273,-0.177,0.962,-0.671,-0.366,0.549,0,0,0,0,16.199,-11.766
4460,-0.266,-0.177,0.961,-1.281,-0.488,0,0,0,0,0,16.177,-11.771
4480,-0.279,-0.18,0.962,-2.197,-0.61,-0.61,0,0,0,0,16.16,-11.793
4500,-0.282,-0.181,0.963,0.732,0.061,0.488,0,0,0,0,16.149,-11.804
4520,-0.266,-0.177,0.962,1.647,0.854,0.854,0,0,0,0,16.155,-11.76
4540,-0.268,-0.175,0.959,-0.244,0.061,0.122,0,0,0,0,16.155,-11.727
4560,-0.273,-0.175,0.96,-1.77,-0.732,-0.366,0,0,0,0,16.149,-11.727
4580,-0.273,-0.175,0.96,-1.77,-0.732,-0.366,0,0,0,0,16.149,-11.727
4600,-0.283,-0.184,0.964,-1.22,-0.549,0,0,0,0,0,16.122,-11.755
4620,-0.274,-0.182,0.962,-0.976,-0.366,0.488,0,0,0,0,16.122,-11.755
4640,-0.272,-0.181,0.961,-0.854,-0.61,0.183,0,0,0,0,16.1,-11.76
4660,-0.269,-0.178,0.962,-1.647,-0.793,0.122,0,0,0,0,16.089,-11.766
4680,-0.278,-0.181,0.961,-0.671,0.244,-0.305,0,0,0,0,16.067,-11.782
4700,-0.278,-0.18,0.961,-0.122,0.244,0,0,0,0,0,16.067,-11.782
4720,-0.278,-0.182,0.962,-0.854,-0.366,-0.122,0,0,0,0,16.067,-11.777
4740,-0.266,-0.181,0.961,1.831,1.159,0.549,0,0,0,0,16.072,-11.733
4760,-0.266,-0.181,0.961,1.831,1.159,0.549,0,0,0,0,16.078,-11.711
4780,-0.266,-0.181,0.961,1.831,1.159,0.549,0,0,0,0,16.083,-11.694
4800,-0.273,-0.179,0.961,1.464,1.098,-0.183,0,0,0,0,16.1,-11.656
4820,-0.273,-0.179,0.961,1.464,1.098,-0.183,0,0,0,0,16.1,-11.656
4840,-0.28,-0.177,0.962,1.464,1.22,0.488,0,0,0,0,16.144,-11.568
4860,-0.283,-0.175,0.961,0.366,0.549,0.61,0,0,0,0,16.155,-11.552
4880,-0.271,-0.182,0.963,2.99,1.953,0.427,0,0,0,0,16.177,-11.491
4900,-0.271,-0.182,0.963,2.99,1.953,0.427,0,0,0,0,16.177,-11.491
4920,-0.271,-0.182,0.963,2.99,1.953,0.427,0,0,0,0,16.188,-11.475
